"","house_name","name","house_style","house_size","house_direction","house_decorate","house_lift","house_address","house_totalprice","house_unitprice"
"556","威尼斯水城第十三街区 ","威尼斯水城第十三街区","2室2厅","89.1平米","南北","精装","有电梯","桥北","210万","23570"
"557","威尼斯水城第十四街区 ","威尼斯水城第十四街区","2室2厅","90.26平米","南北","精装","有电梯","桥北","203万","22491"
"558","天地新城天一座 ","天地新城天一座","2室2厅","83.63平米","南北","精装","有电梯","岔路口","210万","25111"
"559","龙翔雅苑 ","龙翔雅苑","4室2厅","104.28平米","南北","其他","无电梯","洪家园","280万","26851"
"560","爱涛艺郡临枫 ","爱涛艺郡临枫","3室2厅","85.25平米","南","其他","有电梯","尧化门","225万","26393"
"561","鼎泰家园 ","鼎泰家园","3室2厅","119.96平米","南北","毛坯","无电梯","桥北","200万","16673"
"562","威尼斯水城第五街区 ","威尼斯水城第五街区","3室2厅","128.93平米","南北","简装","有电梯","桥北","275万","21330"
"563","高科荣境 ","高科荣境","4室2厅","177.07平米","南北","毛坯","有电梯","仙林","650万","36709"
"564","威尼斯水城第十一街区 ","威尼斯水城第十一街区","3室2厅","118平米","南北","精装","有电梯","桥北","268万","22712"
"565","紫竹林 ","紫竹林","3室1厅","72.38平米","东西","毛坯","有电梯","许府巷","181万","25007"
"566","和会街 ","和会街","3室1厅","87.05平米","东南北","精装","无电梯","三牌楼","390万","44802"
"567","御水湾花园 ","御水湾花园","2室2厅","57.55平米","南北","其他","有电梯","光华路","250万","43441"
"568","万科金色半山 ","万科金色半山","3室1厅","79.27平米","南北","精装","有电梯","浦口其它","206万","25988"
"569","兰园小区 ","兰园小区","3室1厅","66.89平米","南北","精装","无电梯","北京东路","480万","71760"
"570","天地新城天心座 ","天地新城天心座","2室2厅","91.75平米","南北","精装","无电梯","岔路口","212万","23107"
"571","威尼斯水城第一街区 ","威尼斯水城第一街区","2室2厅","94.59平米","南北","简装","有电梯","桥北","207万","21884"
"572","虹苑新寓三村 ","虹苑新寓三村","2室1厅","63.83平米","南北","毛坯","无电梯","应天西路","175万","27417"
"573","东郊小镇第一街区 ","东郊小镇第一街区","2室2厅","82.02平米","南北","精装","无电梯","麒麟镇","168万","20483"
"574","桃园人家 ","桃园人家","2室1厅","79.67平米","南北","精装","无电梯","来凤里","328万","41170"
"575","大地伊丽雅特湾 ","大地伊丽雅特湾","1室1厅","51.05平米","南","精装","有电梯","晓庄","135万","26445"
"576","小市街 ","小市街","2室1厅","48.81平米","南北","简装","无电梯","小市","130万","26634"
"577","西祠胡同 ","西祠胡同","1室1厅","26.51平米","东","简装","有电梯","江东","52万","19616"
"578","万达紫金明珠 ","万达紫金明珠","1室1厅","53.05平米","南北","简装","有电梯","月牙湖","135万","25448"
"579","天润城第十街区 ","天润城第十街区","3室2厅","118.42平米","南","精装","有电梯","桥北","285万","24067"
"580","马群街99号 ","马群街99号","2室1厅","66.44平米","南北","精装","无电梯","马群","195万","29350"
"581","天元吉第城 ","天元吉第城","2室1厅","49.09平米","南","精装","无电梯","东山镇","185万","37686"
"582","建康新村 ","建康新村","2室1厅","50.78平米","南北","简装","无电梯","建康路","155万","30524"
"583","武学园小区 ","武学园小区","1室1厅","49.5平米","西北","简装","有电梯","新街口","245万","49495"
"584","万达紫金明珠 ","万达紫金明珠","3室2厅","120.86平米","南","简装","有电梯","月牙湖","349万","28877"
"585","东郊小镇第六街区 ","东郊小镇第六街区","2室1厅","77.57平米","南北","毛坯","无电梯","麒麟镇","150万","19338"
"586","东郊小镇第四街区 ","东郊小镇第四街区","2室2厅","37.04平米","东北","精装","有电梯","麒麟镇","93万","25108"
"587","威尼斯水城第六街区 ","威尼斯水城第六街区","2室1厅","88.67平米","南北","简装","有电梯","桥北","183万","20639"
"588","江苏农科院住宅小区 ","江苏农科院住宅小区","3室1厅","71.12平米","南北","毛坯","无电梯","孝陵卫","205万","28825"
"589","东郊小镇第八街区 ","东郊小镇第八街区","2室1厅","45.52平米","东南","其他","有电梯","麒麟镇","118万","25923"
"590","白鹭花园莺歌苑 ","白鹭花园莺歌苑","2室2厅","84.91平米","南北","其他","无电梯","万达广场","308万","36274"
"591","营苑西村 ","营苑西村","2室1厅","66.03平米","南","其他","无电梯","迈皋桥","175万","26504"
"592","申家巷20号 ","申家巷20号","2室1厅","58.87平米","南北","简装","无电梯","常府街","172万","29217"
"593","长乐路 ","长乐路","3室1厅","58.54平米","南北","简装","无电梯","夫子庙","185万","31603"
"594","豆菜桥小区 ","豆菜桥小区","1室1厅","38.76平米","东","简装","无电梯","华侨路","137万","35346"
"595","百家湖国际花园 ","百家湖国际花园","3室2厅","113.04平米","东南","精装","有电梯","百家湖","295万","26097"
"596","天润城第十街区 ","天润城第十街区","2室2厅","79.76平米","南北","精装","无电梯","桥北","190万","23822"
"597","天润城第十街区 ","天润城第十街区","3室2厅","124.4平米","南北","简装","有电梯","桥北","270万","21705"
"598","四方新村四村 ","四方新村四村","2室1厅","53.47平米","南北","简装","无电梯","月牙湖","148万","27680"
"599","莺虹苑 ","莺虹苑","2室1厅","70.11平米","南北","简装","无电梯","秦虹","186万","26530"
"600","仁恒江湾城二期 ","仁恒江湾城二期","3室2厅","146.25平米","南北","精装","有电梯","奥体","800万","54701"
"601","瀛洲湾 ","瀛洲湾","2室2厅","84.21平米","南北","精装","无电梯","岔路口","216万","25651"
"602","银城东苑望山苑 ","银城东苑望山苑","4室2厅","147.03平米","南北","其他","有电梯","卫岗","698万","47474"
"603","磨盘街 ","磨盘街","2室1厅","49.9平米","南北","简装","无电梯","来凤里","150万","30061"
"604","开源小区二村 ","开源小区二村","2室1厅","62.26平米","南","其他","无电梯","洪家园","172万","27627"
"605","邓府山村 ","邓府山村","2室1厅","68.26平米","南北","简装","无电梯","雨花新村","172万","25198"
"606","翠屏城 ","翠屏城","3室2厅","86.26平米","南北","毛坯","有电梯","禄口","143万","16578"
"607","小火瓦巷 ","小火瓦巷","3室1厅","71.05平米","南北","简装","无电梯","新街口","378万","53202"
"608","中海万锦熙岸一期 ","中海万锦熙岸一期","3室2厅","95.26平米","南","精装","有电梯","江浦街道","228万","23935"
"609","燕华花园 ","燕华花园","2室1厅","62.13平米","南北","简装","无电梯","万寿","170万","27362"
"610","金陵新六村 ","金陵新六村","2室1厅","50.46平米","南北","毛坯","无电梯","金陵小区","119万","23584"
"611","鸿信清新家园 ","鸿信清新家园","2室2厅","95.18平米","南北","精装","有电梯","卫岗","293万","30784"
"612","南方花园B组团 ","南方花园B组团","2室1厅","61.03平米","南北","其他","无电梯","岔路口","178万","29166"
"613","雅居乐花园 ","雅居乐花园","2室1厅","53.25平米","北","其他","有电梯","秦虹","198万","37184"
"614","百水芊城春水坊 ","百水芊城春水坊","2室1厅","62.23平米","南","其他","无电梯","马群","145万","23301"
"615","东郊小镇第八街区 ","东郊小镇第八街区","2室1厅","40.48平米","西北","精装","有电梯","麒麟镇","105万","25939"
"616","热河南路308号小区 ","热河南路308号小区","2室1厅","61.55平米","南北","精装","无电梯","热河南路","189万","30707"
"617","天润城第十街区 ","天润城第十街区","2室2厅","81.06平米","南","毛坯","无电梯","桥北","178万","21960"
"618","托乐嘉旺邻居 ","托乐嘉旺邻居","3室2厅","127.51平米","南北","其他","有电梯","将军大道","498万","39056"
"619","常府风华苑 ","常府风华苑","2室1厅","81.55平米","南","其他","有电梯","常府街","233万","28572"
"620","头条巷 ","头条巷","1室1厅","38.45平米","东","其他","无电梯","五老村","152万","39532"
"621","文思新村 ","文思新村","2室1厅","47.68平米","南北","简装","无电梯","建康路","155万","32509"
"622","腾飞园 ","腾飞园","2室1厅","54.95平米","南北","简装","无电梯","龙江","250万","45496"
"623","武夷绿洲品兰苑 ","武夷绿洲品兰苑","2室1厅","82.17平米","南北","其他","有电梯","科学园","240万","29208"
"624","爱达花园兰花园 ","爱达花园兰花园","2室1厅","66.66平米","南北","其他","无电梯","应天西路","198万","29703"
"625","百家湖西花园伦敦城 ","百家湖西花园伦敦城","2室2厅","79.23平米","南北","其他","有电梯","百家湖","253万","31933"
"626","乔虹苑 ","乔虹苑","2室1厅","49.95平米","南北","精装","无电梯","秦虹","147万","29430"
"627","石鼓路225号 ","石鼓路225号","3室2厅","72.5平米","南北","其他","无电梯","朝天宫","265万","36552"
"628","三条巷(秦淮) ","三条巷(秦淮)","1室1厅","42.31平米","南","简装","无电梯","五老村","161万","38053"
"629","启迪方洲泽园 ","启迪方洲泽园","3室2厅","94.73平米","南北","简装","有电梯","麒麟镇","225万","23752"
"630","应天花园 ","应天花园","2室1厅","57.95平米","南北","精装","无电梯","能仁里","173万","29854"
"631","白鹭花园莺歌苑 ","白鹭花园莺歌苑","2室1厅","54.38平米","南北","其他","无电梯","万达广场","205万","37698"
"632","中航樾府 ","中航樾府","3室2厅","85.23平米","南北","其他","有电梯","百家湖","330万","38719"
"633","文化名园凌波阁 ","文化名园凌波阁","3室2厅","110.54平米","东南南","其他","有电梯","百家湖","340万","30759"
"634","紫薇花园 ","紫薇花园","1室1厅","43.2平米","南北","其他","无电梯","岔路口","135万","31250"
"635","百子亭后 ","百子亭后","1室0厅","33.01平米","南北","简装","无电梯","玄武门","240万","72706"
"636","市政天元城 ","市政天元城","2室1厅","56.28平米","南","精装","有电梯","东山镇","148万","26298"
"637","诚品城 ","诚品城","3室1厅","90.49平米","南北","精装","无电梯","仙林","272万","30059"
"638","白鹭小区新声巷 ","白鹭小区新声巷","1室0厅","27.13平米","南","简装","无电梯","夫子庙","118万","43495"
"639","恒安嘉园 ","恒安嘉园","3室2厅","145.92平米","南北","毛坯","无电梯","科学园","355万","24329"
"640","天悦花园 ","天悦花园","3室1厅","84.96平米","南北","精装","无电梯","马群","237万","27896"
"641","城西纺织公寓 ","城西纺织公寓","3室2厅","84.84平米","南北","简装","无电梯","应天西路","318万","37483"
"642","南京恒大绿洲 ","南京恒大绿洲","4室2厅","188.17平米","南北","其他","有电梯","九龙湖","425万","22586"
"643","西一新村 ","西一新村","2室1厅","65.22平米","东","精装","有电梯","升州路","305万","46765"
"644","融侨观邸二期 ","融侨观邸二期","2室2厅","86.53平米","南北","简装","有电梯","江浦街道","202万","23345"
"645","藏龙御景 ","藏龙御景","4室3厅","250.35平米","南北","其他","有电梯","九龙湖","680万","27162"
"646","新城市广场 ","新城市广场","3室2厅","57.9平米","南","简装","有电梯","龙江","292万","50432"
"647","万裕龙庭水岸 ","万裕龙庭水岸","3室2厅","105.75平米","东南北","精装","有电梯","江宁大学城","265万","25060"
"648","香山美墅 ","香山美墅","3室2厅","112.84平米","南北","其他","无电梯","将军大道","372万","32968"
"649","翠屏东南 ","翠屏东南","5室3厅","204.69平米","南北","其他","无电梯","将军大道","390万","19054"
"650","滟紫台 ","滟紫台","4室2厅","261.87平米","南西北","其他","有电梯","将军大道","958万","36584"
"651","银河湾紫苑 ","银河湾紫苑","3室2厅","125.63平米","南北","其他","有电梯","麒麟镇","255万","20298"
"652","金贸新村 ","金贸新村","2室1厅","78.77平米","南北","其他","无电梯","南湖","249万","31612"
"653","时光澔韵 ","时光澔韵","3室2厅","107.8平米","南北","简装","有电梯","小行","353万","32746"
"654","香山美墅 ","香山美墅","3室2厅","121.49平米","南北","其他","有电梯","将军大道","420万","34571"
"655","东方龙湖湾南湖苑 ","东方龙湖湾南湖苑","2室2厅","89.46平米","南北","其他","有电梯","江宁大学城","245万","27387"
"656","应天花园 ","应天花园","2室2厅","83.03平米","南北","其他","无电梯","能仁里","240万","28906"
"657","滨江奥城观澜苑 ","滨江奥城观澜苑","3室2厅","132.38平米","南北","其他","有电梯","奥体","565万","42681"
"658","银城蓝溪郡 ","银城蓝溪郡","3室2厅","87.17平米","南北","精装","有电梯","江宁其它","169万","19388"
"659","托乐嘉旺邻居 ","托乐嘉旺邻居","3室2厅","123.56平米","南北","其他","有电梯","将军大道","425万","34397"
"660","中海万锦熙岸一期 ","中海万锦熙岸一期","3室2厅","93.67平米","南北","精装","有电梯","江浦街道","258万","27544"
"661","文化名园上筑园 ","文化名园上筑园","3室1厅","100.83平米","南北","其他","有电梯","百家湖","300万","29754"
"662","爱涛翠湖花园 ","爱涛翠湖花园","3室2厅","143.2平米","南北","其他","有电梯","将军大道","338万","23604"
"663","天润城第十街区 ","天润城第十街区","2室2厅","79.67平米","南北","精装","无电梯","桥北","190万","23849"
"664","甘露巷 ","甘露巷","2室1厅","59平米","南","精装","无电梯","长乐路","175万","29662"
"665","金王府 ","金王府","2室2厅","89.81平米","南北","其他","有电梯","百家湖","316万","35186"
"666","春江新城新河苑一期 ","春江新城新河苑一期","3室1厅","69.95平米","南","简装","有电梯","铁心桥","172万","24589"
"667","虹桥中心 ","虹桥中心","1室1厅","71平米","东南南","其他","有电梯","三牌楼","170万","23944"
"668","康博花园 ","康博花园","3室2厅","95.84平米","南北","精装","有电梯","九龙湖","299万","31198"
"669","万科金色领域 ","万科金色领域","3室2厅","89.7平米","南北","精装","有电梯","仙林","312万","34783"
"670","丹凤新寓 ","丹凤新寓","2室1厅","72.02平米","南","简装","有电梯","丹凤街","265万","36796"
"671","翠屏诚园 ","翠屏诚园","3室2厅","80.27平米","南北","其他","有电梯","江宁其它","275万","34260"
"672","幕府佳园 ","幕府佳园","3室1厅","86.27平米","南北","精装","无电梯","金陵小区","260万","30138"
"673","中海国际社区一期 ","中海国际社区一期","3室2厅","95.51平米","南北","毛坯","有电梯","麒麟镇","265万","27746"
"674","康博花园 ","康博花园","3室2厅","138.56平米","南北","简装","有电梯","九龙湖","395万","28508"
"675","龙湖春江紫宸 ","龙湖春江紫宸","3室1厅","91.65平米","南北","简装","有电梯","建宁路","360万","39280"
"676","蓝岸3G ","蓝岸3G","1室0厅","32.91平米","北","其他","有电梯","铁心桥","50万","15193"
"677","明发滨江新城三期 ","明发滨江新城三期","4室2厅","144.01平米","南北","毛坯","有电梯","桥北","285万","19791"
"678","浦东大厦 ","浦东大厦","1室1厅","57.49平米","南","其他","有电梯","泰山街道","99万","17221"
"679","武夷绿洲观竹苑 ","武夷绿洲观竹苑","3室1厅","104.88平米","南","精装","有电梯","科学园","300万","28605"
"680","托乐嘉贵邻居 ","托乐嘉贵邻居","2室1厅","76.58平米","南","其他","有电梯","将军大道","245万","31993"
"681","清江花苑清风园 ","清江花苑清风园","2室1厅","62.77平米","南北","简装","无电梯","定淮门大街","390万","62132"
"682","板仓街49号 ","板仓街49号","2室1厅","64.03平米","南北","简装","无电梯","锁金村","176万","27488"
"683","鸿运大厦 ","鸿运大厦","2室3厅","327.09平米","北","其他","有电梯","朝天宫","556万","16999"
"684","王府园小区 ","王府园小区","2室1厅","50.66平米","南北","其他","无电梯","升州路","303万","59811"
"685","威尼斯水城第十四街区 ","威尼斯水城第十四街区","2室2厅","92.36平米","南北","精装","有电梯","桥北","229万","24795"
"686","黄埔鑫园 ","黄埔鑫园","5室2厅","137.34平米","南","精装","有电梯","光华路","470万","34222"
"687","南方花园瑞阳居 ","南方花园瑞阳居","2室1厅","50.32平米","东","其他","有电梯","岔路口","168万","33387"
"688","吉庆家园逢春苑 ","吉庆家园逢春苑","3室2厅","107.6平米","南北","精装","无电梯","南苑","320万","29740"
"689","明发滨江新城三期 ","明发滨江新城三期","3室2厅","125.09平米","南北","精装","有电梯","桥北","278万","22224"
"690","应天花园 ","应天花园","2室1厅","62.07平米","南北","简装","无电梯","能仁里","190万","30611"
"691","东升村 ","东升村","2室1厅","76.7平米","南北","其他","有电梯","南湖","195万","25424"
"692","悦民公寓 ","悦民公寓","2室1厅","61.2平米","南北","精装","无电梯","麒麟镇","140万","22876"
"693","丹佛小镇 ","丹佛小镇","3室2厅","99.85平米","南北","其他","有电梯","将军大道","258万","25839"
"694","御水湾花园 ","御水湾花园","3室2厅","107.37平米","南北","其他","无电梯","光华路","420万","39118"
"695","瑞金路50号院 ","瑞金路50号院","2室1厅","54.26平米","南","简装","无电梯","瑞金路","230万","42389"
"696","亚东观云国际 ","亚东观云国际","2室2厅","80.73平米","南","精装","有电梯","能仁里","340万","42116"
"697","兴达新寓二村 ","兴达新寓二村","2室1厅","61.95平米","南北","其他","无电梯","应天西路","235万","37934"
"698","龙苑新寓四村 ","龙苑新寓四村","1室1厅","41.83平米","南北","其他","无电梯","秦虹","128万","30601"
"699","王府园小区 ","王府园小区","2室1厅","50.7平米","南北","简装","无电梯","升州路","255万","50296"
"700","大地伊丽雅特湾 ","大地伊丽雅特湾","2室2厅","82.32平米","南北","精装","有电梯","晓庄","268万","32556"
"701","明发滨江新城一期 ","明发滨江新城一期","2室2厅","90.68平米","南","精装","有电梯","桥北","230万","25364"
"702","观音阁 ","观音阁","2室1厅","59.72平米","南北","精装","无电梯","长江路","240万","40188"
"703","城开家园 ","城开家园","2室1厅","99.63平米","南北","精装","有电梯","月牙湖","366万","36736"
"704","苏建豪庭 ","苏建豪庭","3室2厅","136.4平米","南北","精装","无电梯","应天西路","488万","35778"
"705","湖东音乐苑 ","湖东音乐苑","3室2厅","104.58平米","南北","精装","无电梯","百家湖","300万","28687"
"706","明月港湾月亮湾 ","明月港湾月亮湾","4室2厅","145.91平米","南","简装","无电梯","岔路口","350万","23988"
"707","朗晴名居 ","朗晴名居","3室2厅","124.47平米","南北","精装","有电梯","龙江","550万","44188"
"708","清江花苑明月园 ","清江花苑明月园","2室1厅","67.07平米","南北","简装","无电梯","定淮门大街","429万","63964"
"709","绿国万象都荟 ","绿国万象都荟","2室1厅","45.2平米","西","其他","有电梯","洪家园","125万","27655"
"710","丹佛小镇 ","丹佛小镇","3室2厅","76.74平米","南北","精装","有电梯","将军大道","205万","26714"
"711","长江之家 ","长江之家","3室2厅","164.1平米","西南北","精装","有电梯","龙江","750万","45704"
"712","时光澔韵 ","时光澔韵","3室2厅","96.58平米","南西北","精装","有电梯","小行","333万","34480"
"713","雅居乐花园 ","雅居乐花园","3室1厅","80.09平米","南","精装","有电梯","秦虹","306万","38208"
"714","金域中央广场 ","金域中央广场","1室0厅","32.89平米","北","其他","有电梯","五塘广场","45万","13682"
"715","宜家国际公寓 ","宜家国际公寓","2室2厅","77.99平米","南北","精装","有电梯","江宁大学城","215万","27568"
"716","金域中央广场 ","金域中央广场","1室0厅","40平米","南","其他","有电梯","五塘广场","58万","14500"
"717","应天花园 ","应天花园","3室2厅","81.31平米","南北","精装","无电梯","能仁里","255万","31362"
"718","今日家园丹桂居 ","今日家园丹桂居","2室1厅","66.76平米","南北","简装","无电梯","万达广场","252万","37748"
"719","康居里 ","康居里","3室1厅","64.51平米","南北","其他","无电梯","秦虹","210万","32554"
"720","天湖园 ","天湖园","2室1厅","67.7平米","南北","其他","无电梯","南湖","235万","34712"
"721","梅花山庄中沁苑 ","梅花山庄中沁苑","3室2厅","85.97平米","南北","其他","无电梯","月牙湖","335万","38968"
"722","佳盛花园 ","佳盛花园","2室1厅","62.69平米","南","精装","无电梯","热河南路","220万","35094"
"723","东郊小镇第三街区 ","东郊小镇第三街区","2室2厅","82.95平米","南北","精装","无电梯","麒麟镇","167万","20133"
"724","银城东苑望山苑 ","银城东苑望山苑","2室2厅","101.05平米","南","精装","有电梯","卫岗","428万","42356"
"725","建康新村 ","建康新村","2室1厅","51.89平米","南","精装","无电梯","建康路","152万","29293"
"726","御道街小区 ","御道街小区","3室1厅","69.34平米","东南北","简装","无电梯","瑞金路","285万","41102"
"727","海都嘉园 ","海都嘉园","2室1厅","58.32平米","南北","简装","无电梯","江浦街道","159万","27264"
"728","明发城市广场 ","明发城市广场","2室2厅","83.36平米","南","简装","有电梯","顶山街道","225万","26992"
"729","天地花园 ","天地花园","2室1厅","61.35平米","南北","精装","无电梯","月牙湖","165万","26895"
"730","马道街 ","马道街","2室1厅","57.7平米","南北","其他","无电梯","长乐路","186万","32236"
"731","蓝旗新村 ","蓝旗新村","2室1厅","59.99平米","南北","精装","无电梯","大光路","170万","28339"
"732","营苑西村 ","营苑西村","3室1厅","75.37平米","南","精装","无电梯","迈皋桥","185万","24546"
"733","幕府佳园 ","幕府佳园","2室1厅","90.13平米","南北","其他","有电梯","金陵小区","252万","27960"
"734","华阳佳园华彩苑 ","华阳佳园华彩苑","2室1厅","61.2平米","南北","毛坯","无电梯","凤凰西街","248万","40523"
"735","兆园 ","兆园","3室1厅","61.76平米","南北","简装","无电梯","茶南","188万","30441"
"736","天华硅谷 ","天华硅谷","3室2厅","114.29平米","东","其他","有电梯","泰山街道","249万","21787"
"737","书香名门 ","书香名门","3室2厅","122.11平米","南北","简装","无电梯","东山镇","275万","22521"
"738","思园 ","思园","3室2厅","111.85平米","南北","简装","无电梯","南苑","396万","35405"
"739","明月港湾旭日湾 ","明月港湾旭日湾","2室2厅","87.78平米","南北","其他","无电梯","岔路口","236万","26886"
"740","南湾营融康苑 ","南湾营融康苑","1室1厅","41.96平米","南北","精装","无电梯","马群","95万","22641"
"741","亲水湾花园 ","亲水湾花园","1室1厅","32.31平米","北","其他","有电梯","百家湖","120万","37141"
"742","天地新城天琴座 ","天地新城天琴座","3室2厅","128.15平米","南北","简装","无电梯","岔路口","265万","20679"
"743","宏图上水园 ","宏图上水园","3室2厅","134.25平米","南北","其他","有电梯","宁南","690万","51397"
"744","左邻右里 ","左邻右里","2室2厅","96.55平米","南西北","精装","有电梯","岔路口","318万","32937"
"745","水月秦淮 ","水月秦淮","3室2厅","135.38平米","南北","其他","有电梯","百家湖","345万","25484"
"746","天悦花园 ","天悦花园","3室2厅","102.3平米","南","精装","无电梯","马群","275万","26882"
"747","二十八所(南) ","二十八所(南)","3室1厅","81.43平米","南北","精装","无电梯","月牙湖","260万","31930"
"748","钟山晶典苑 ","钟山晶典苑","2室2厅","86.06平米","南北","简装","有电梯","马群","260万","30212"
"749","苜中路3号 ","苜中路3号","2室1厅","45.99平米","南北","简装","无电梯","月牙湖","150万","32616"
"750","瑞金北村 ","瑞金北村","2室1厅","53.88平米","南","其他","无电梯","瑞金路","230万","42688"
"751","西华东村社区 ","西华东村社区","2室1厅","66.05平米","南","其他","无电梯","瑞金路","264万","39970"
"752","卫岗3号 ","卫岗3号","2室1厅","74.71平米","南北","简装","无电梯","卫岗","225万","30117"
"753","嘉业阳光城云景苑二期 ","嘉业阳光城云景苑二期","3室2厅","139.48平米","南北","精装","无电梯","奥体","720万","51621"
"754","国信阅景龙华 ","国信阅景龙华","4室2厅","146.37平米","南北","精装","有电梯","江浦街道","310万","21180"
"755","御道街30号 ","御道街30号","3室1厅","82.09平米","南","简装","有电梯","瑞金路","369万","44951"
"756","杨将军巷 ","杨将军巷","2室1厅","51.61平米","南北","精装","无电梯","长江路","310万","60066"
"757","新庄花园 ","新庄花园","3室1厅","74.66平米","南北","简装","无电梯","红山","225万","30137"
"758","康业里 ","康业里","3室1厅","79.55平米","南北","其他","无电梯","洪家园","230万","28913"
"759","华丰大厦 ","华丰大厦","2室2厅","85平米","东","其他","有电梯","湖南路","306万","36000"
"760","玻纤院 ","玻纤院","2室2厅","61.37平米","南","其他",NA,"能仁里","203万","33079"
"761","玻纤院 ","玻纤院","3室1厅","67.52平米","南北","简装",NA,"能仁里","180万","26659"
"762","弘阳旭日上城三区 ","弘阳旭日上城三区","3室2厅","127.98平米","南北","其他","有电梯","桥北","360万","28130"
"763","弘瑞广场 ","弘瑞广场","2室1厅","36.84平米","北","其他","有电梯","应天西路","110万","29859"
"764","马群街99号 ","马群街99号","3室1厅","66.44平米","南北","其他","无电梯","马群","180万","27093"
"765","南湾营馨康苑 ","南湾营馨康苑","3室1厅","84.88平米","南","其他","无电梯","马群","168万","19793"
"766","威尼斯水城第七街区 ","威尼斯水城第七街区","3室2厅","128.48平米","南北","其他","有电梯","桥北","285万","22183"
"767","南湾营文康苑 ","南湾营文康苑","3室1厅","86.82平米","南北","其他","无电梯","马群","180万","20733"
"768","百家湖国际花园 ","百家湖国际花园","3室2厅","129.97平米","东北","其他","有电梯","百家湖","325万","25006"
"769","健园 ","健园","2室1厅","61.23平米","南北","简装","无电梯","南苑","183万","29888"
"770","南方花园瑞阳居 ","南方花园瑞阳居","2室1厅","46.26平米","东","精装","有电梯","岔路口","156万","33723"
"771","华保新寓 ","华保新寓","2室1厅","53.33平米","南北","简装","无电梯","草场门大街","225万","42191"
"772","新河一村 ","新河一村","2室1厅","55.12平米","南北","简装","无电梯","定淮门大街","380万","68941"
"773","铂领公寓 ","铂领公寓","2室1厅","92.14平米","南北","精装","有电梯","南苑","328万","35599"
"774","凤凰庄 ","凤凰庄","2室1厅","52.91平米","南","简装","无电梯","汉中门大街","270万","51031"
"775","铁桥小区 ","铁桥小区","2室1厅","64平米","南北","简装","无电梯","泰山街道","128万","20000"
"776","狗耳巷小区 ","狗耳巷小区","2室1厅","60.89平米","南北","简装","无电梯","三牌楼","270万","44343"
"777","定淮门大街 ","定淮门大街","2室1厅","74.93平米","南北","精装","无电梯","定淮门大街","425万","56720"
"778","劲顺花园 ","劲顺花园","2室1厅","50.97平米","南北","精装","无电梯","汉中门大街","245万","48068"
"779","北苑一村 ","北苑一村","2室1厅","72.83平米","南北","精装","无电梯","迈皋桥","216万","29659"
"780","豆腐坊 ","豆腐坊","2室1厅","47.09平米","南","简装","无电梯","来凤里","147万","31217"
"781","五马街 ","五马街","2室1厅","72.95平米","南北","精装","无电梯","建康路","239万","32763"
"782","庆盛园 ","庆盛园","2室1厅","64.29平米","南北","精装","无电梯","卫岗","195万","30332"
"783","金鑫园小区 ","金鑫园小区","3室2厅","117.9平米","南北","简装","无电梯","瑞金路","345万","29263"
"784","阳光聚宝山庄 ","阳光聚宝山庄","2室2厅","94.31平米","南北","简装","有电梯","月苑","260万","27569"
"785","裕德里小区 ","裕德里小区","1室1厅","36.51平米","南","毛坯","无电梯","长江路","135万","36977"
"786","新河一村 ","新河一村","2室1厅","62.74平米","南北","精装","无电梯","定淮门大街","395万","62959"
"787","天润城第十二街区 ","天润城第十二街区","2室1厅","75.87平米","南","精装","有电梯","桥北","181.6万","23936"
"788","玉带园 ","玉带园","2室1厅","61.59平米","南北","简装","有电梯","来凤里","193万","31337"
"789","真园 ","真园","3室2厅","76.76平米","南北","简装","无电梯","南苑","232万","30225"
"790","左邻右里 ","左邻右里","2室2厅","72.62平米","南","精装","有电梯","岔路口","239万","32912"
"791","天元吉第城 ","天元吉第城","3室2厅","126.37平米","南北","精装","无电梯","东山镇","320万","25323"
"792","润龙锦园 ","润龙锦园","2室1厅","82.49平米","南北","精装","有电梯","九龙湖","267万","32368"
"793","保利梧桐语花园 ","保利梧桐语花园","2室2厅","67.74平米","南北","精装","有电梯","江宁大学城","199万","29378"
"794","阅城国际花园悠然园 ","阅城国际花园悠然园","3室2厅","119.91平米","南北","其他","有电梯","宁南","518万","43200"
"795","融侨观邸二期 ","融侨观邸二期","4室2厅","105.37平米","南北","精装","有电梯","江浦街道","328万","31129"
"796","盛和家园 ","盛和家园","3室1厅","89.94平米","南北","精装","有电梯","马群","188万","20903"
"797","富丽山庄 ","富丽山庄","4室3厅","164.11平米","南北","精装","无电梯","月牙湖","480万","29249"
"798","御湖国际 ","御湖国际","1室1厅","43.08平米","东西","其他","有电梯","红山","145万","33659"
"799","白鹭小区新声巷 ","白鹭小区新声巷","1室1厅","27.13平米","南","其他","无电梯","夫子庙","110万","40546"
"800","天泓山庄松山苑 ","天泓山庄松山苑","3室2厅","140.33平米","南北","其他","无电梯","马群","550万","39194"
"801","天润城第六街区 ","天润城第六街区","3室2厅","131.6平米","南北","毛坯","无电梯","桥北","230万","17478"
"802","峨嵋新村 ","峨嵋新村","车位","72.76平米","南北","无电梯",NA,"玄武门","340万","46729"
"803","高新花苑 ","高新花苑","4室2厅","134.81平米","南","精装","无电梯","高新区","238万","17655"
"804","江岸水城 ","江岸水城","3室2厅","130.13平米","南北","精装","无电梯","桥北","268万","20595"
